ФИО;Группа;Кафедра;Средний балл
51f0f8ddde7d8c09ff30e374c4ea430a;202;ОМ;4,44
aa6e138b575a607fbf30912f7250b626;214;НДСиПУ;3,40
b4fc80fb94aa438425013fe42e85a85d;206;СП;4,56
623e2b1df1ab5e418391531d9e24d114;218;АЯ;2,72
ea4d6fefefe8c1805dc2914f401a7206;215;ВМ;3,37
f16e285adf335c49d9a8ce029f19f136;218;АСВК;4,00
b47aab7ca6b77590e473ea96c6727aa9;217;АСВК;4,41
da5a26d21ee21ffbd8bb86cf49ce3dba;214;СП;3,76
e34435e628317ee96d9d4c2e1de6a2ea;218;ВМ;2,89
04c774a7e73b47219c195142207f8ba8;212;ОУ;2,95
e95784783be85182064a385065979ee0;207;СА;3,11
42cfb106260e9dd6823e8b88ca562357;203;ОУ;2,95
8037abeee2942515ff8db56120eb217e;217;ИБ;3,72
68f9436f33de88cbd089c5ea70ef1378;211;МК;3,04
60bd335a0df31b19a8537a2c2d4b544c;209;ОУ;3,09
784c8a09a4c033d233eb902501b09bb1;213;ИБ;4,41
68b252cff71640bc3bff0d930d0508a2;241;ВМ;3,00
85cc7348b307459b4eb05b2d2e184b59;206;ИО;3,69
8579ba0f4dfbcf075ac23528fe76ca9b;202;СП;4,88
3f46d6ec8896659094e8385c27f43baa;212;АСВК;4,69
cd31925d6ca0246a83b0fdbe2a200e95;205;АЯ;4,33
6ad31b8e63294743288a6ae1521e949b;216;АСВК;4,31
9d553439a6f44e9132b2839540c91268;212;ВМ;4,94
7f1d1d4ca913147b0e536033138abe6f;203;АСВК;3,58
a4cf465976c66ab67166e4c32c859747;207;СП;3,82
0f28aa7178193f2f012258ded641c692;214;АСВК;4,13
926d39409deb286154cdc0048f9bfa35;207;СП;4,06
81440d8225ed7c43d8c165d257e00213;211;ВМ;3,36
140593980f74ae3a644910e0ba371e3a;212;МК;4,81
0d608ef9b8deb0f76ce3f57f86bc0588;206;СП;3,05
54d1e6f0e512c5674fe4ba7d931a52fb;216;ОМ;4,00
cbe4afb727390f7c0691ef959b8e4672;202;АНИ;3,89
98a06141cfeb74529324eb92d4f1d8aa;212;СКИ;3,25
a046c1c62769fb0e3acd12c39a9609dd;213;СА;4,56
1c2feff6cd897ff794d2eca1bef0d2d7;211;ОУ;4,53
bd171e891ae1578c0ec25cbe22ad4d23;211;МС;4,30
2d41cdc077ea9ad0baf4ecb589cb0749;213;СА;3,59
